Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
Aadhi Raat,6.7,0,0,0,6.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,9
Aadmi,6.8,0,0,0,6.8,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,196
Aadmi,6.5,6.5,0,0,6.5,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,6.5,97
Aadmi Aur Apsara,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,6.7,66
Aadmi Aur Insaan,6.2,0,0,0,6.2,0,6.2,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,6.2,149
Aadmi Khilona Hai,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,142
Aadmi Ki Aurat Aur Anya Kahaniya,7.6,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,62
Aadmi Sadak Ka,5.4,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,5.4,34
Aadupuliyattam,4.2,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,266
Aafat,5.3,0,0,0,5.3,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,5.3,17
Aag,7.4,0,0,0,0,0,7.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,357
Aag,4.6,4.6,0,0,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,227
Aag Aur Chingari,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,13
Aag Hi Aag,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,93
Aag Ka Gola,4.8,4.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,101
Aag Ka Toofaan,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,21
Aag Ke Sholay,3.4,3.4,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,3.4,7
Aag Se Khelenge,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52
Aage Maut Peeche Maut,3.1,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,7
Aagey Se Right,5,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,381
Aaghaaz,4.2,4.2,0,0,4.2,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,4.2,274
Aah,7.2,0,0,0,7.2,0,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,275
Aahuti,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25
Aaina,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,448
Aaina,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,94
Aaj,5.5,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,281
Aaj Aur Kal,5.6,0,0,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,52
Aaj Ka Andha Kanoon,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,15
Aaj Ka Arjun,4.7,4.7,0,0,4.7,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,4.7,586
Aaj Ka Daur,5.1,5.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,40
Aaj Ka Goonda Raaj,5.3,5.3,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,5.3,144
Aaj Ka Mahaatma,3.5,3.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,23
Aaj Ka Ravan,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,4.3,31
Aaj Ka Samson,3.1,3.1,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,14
Aaj Kaa M.L.A. Ram Avtar,5.8,5.8,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,65
Aaj Ke Angaarey,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26
Aaj Ke Shahenshah,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,15
Aaj Ki Awaz,5.6,5.6,0,0,5.6,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,5.6,79
Aaja Meri Jaan,4.4,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,30
Aaja Nachle,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,6.2,0,0,0,6.2,2998
Aaja Sanam,6.7,0,0,0,6.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,14
Aakhree Raasta,7.1,7.1,0,0,7.1,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,7.1,1283
