Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",4.4,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017,123,Action,2.7,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016,120,Drama,6.8,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aabra Ka Daabra,2004,144,Fantasy,2.4,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1968,170,"Comedy, Crime, Drama",5.5,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aadamkhor,2018,72,Horror,7.4,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,1982,105,"Action, Crime, Drama",5.5,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977,132,Action,5.1,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019,107,Drama,7.6,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,1982,154,Drama,6.4,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",5.4,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Raat,1950,115,"Drama, Romance",6.7,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadmi,1968,175,"Drama, Romance",6.8,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,1993,153,"Action, Crime, Drama",6.5,Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,1991,142,Fantasy,6.7,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993,158,"Drama, Romance",5,J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,7.6,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,1977,138,"Drama, Family",5.4,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,2016,145,Horror,4.2,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,1977,148,"Crime, Drama",5.3,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aag,1948,138,"Musical, Romance",7.4,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag,1994,139,"Action, Comedy, Drama",4.6,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
Aag Aur Chingari,1994,133,Action,4.1,Kanti Shah,Alpana,Aparajita,Asrani
Aag Hi Aag,1987,170,Action,5.3,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Gola,1990,180,"Action, Drama",4.8,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Toofaan,1993,137,Action,4.8,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,1988,138,"Action, Thriller",3.4,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Se Khelenge,1989,151,Action,5,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aage Maut Peeche Maut,2001,78,Horror,3.1,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aagey Se Right,2009,117,"Comedy, Crime, Drama",5,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaaz,2000,153,"Action, Crime, Drama",4.2,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aah,1953,150,"Drama, Musical, Romance",7.2,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Aahuti,1978,135,"Action, Drama",6,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aaina,1993,149,"Drama, Romance",6,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
Aaina,1977,150,Drama,6.8,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
Aaj,1987,116,Drama,5.5,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Aaj Aur Kal,1963,144,"Drama, Romance",5.6,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
Aaj Ka Andha Kanoon,2003,46,Action,3.1,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aaj Ka Arjun,1990,164,"Action, Crime, Drama",4.7,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
Aaj Ka Daur,1985,153,"Action, Drama",5.1,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.3,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Mahaatma,1976,170,"Action, Romance",3.5,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
Aaj Ka Ravan,2000,128,"Action, Crime",4.3,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Aaj Ka Samson,1991,123,"Action, Romance",3.1,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",5.8,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,1988,128,"Action, Drama",5,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,1990,132,Action,3.3,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.6,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aaja Meri Jaan,1993,162,Romance,4.4,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
Aaja Nachle,2007,137,"Drama, Family, Music",6.2,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
Aaja Sanam,1968,121,"Drama, Romance",6.7,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
Aakhri Adaalat,1988,148,"Action, Thriller",5.2,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
Aakhri Baazi,1989,149,"Action, Drama, Family",4.1,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
Aakhri Badla,1989,120,"Action, Crime, Drama",5,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
Aakhri Ghulam,1989,171,"Action, Crime, Drama",4.9,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
Aakhri Kasam,1979,126,"Action, Thriller",6.3,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
Aakhri Khat,1966,153,Drama,6.9,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
